Phrase	Grammar	Transcription	Translation	Notes
ادبیات		adabiyāt	literatura	
آرامگاه		ārāmgāh	mauzoleum	
آلو		ālu	śliwa	
انگلیسی		englisi	angielski	
پستخانه		postxāne	urząd pocztowy; poczta	
تاریخ		tārix	historia	
دیوار کرملین		divār-e Kremlin	mur Kremla	
ساختمان		sāxtemān	budynek	
سینما		sinemā	kino	
کارخانه ماشین سازی		kārxāne-ye māšinsāzi	fabryka budująca maszyny	
کرملین		Kremlin	Kreml	
گلابی		golābi	grusza	
گیلاس		gilās	czereśnia	
لیمو		limu	cytryna	
ماشین سازی		māšinsāzi	budowa maszyn	
مرکز		markaz	centrum	
مرکزی		markazi	centralny	
میدان		meydān	plac	
میوه		mive	owoc	
هتل		hotel	hotel	
ورزشگاه		varzešgāh	stadion	
