Phrase	Grammar	Transcription	Translation	Notes
会		huì	móc; być możliwym; spotkać się; zebrać się; stowarzyszenie; grupa	
游泳		yóuyǒng	pływać	
得		de	-	partykuła czasownikowa
能		néng	móc; umieć; potrafić	
羡慕		xiànmù	zazdrosny; zazdrościć; podziwiać	
旱鸭子		hànyāzi	nie umiejący pływać	
运动		yùndòng	ruch; sport; kampania	
爱		ài	kochać; miłość; lubić	
踢		tī	kopać; grać (w piłkę)	
足球		zúqiú	piłka nożna	
球星		qiúxīng	gwiazda sportowa	
棒		bàng	doskonały; mądry; zdolny; silny; pałka; maczuga	
队		duì	szwadron; drużyna; grupa	
比赛		bǐsài	mecz	
女		nǚ	kobieta; kobiecy	
女朋友		nǚpéngyou	przyjaciółka; dziewczyna; sympatia	
音乐会		yīnyuèhuì	koncert	
得		děi	musieć; powinien	
赢		yíng	wygrać	
估计		gūjì	estymować; przewidywać	
一定		yídìng	na pewno; z pewnością; koniecznie; pewien	
输		shū	transportować; przegrać	
早		zǎo	wcześnie; poranek	
晚		wǎn	wieczór; noc; późno	
打球		dǎqiú	grać w piłkę	
网球		wǎngqiú	tenis	
篮球		lánqiú	koszykówka	
做		zuò	zrobić; przygotować	
打字		dǎzì	pisać na maszynie	
场		chǎng	-	klasyfikator gier
吸烟		xīyān	palić (tytoń)	
抽烟		chōuyān	palić (papierosa)	
